Required Action,Time,Correct,Mode,Tab
Volume,1.746,True,speed,layout
Stop,1.115,True,speed,layout
Volume,1.265,True,speed,layout
Stop,1.96,True,speed,layout
ESC,2.12,True,speed,layout
Stop,3.483,True,speed,layout
Next,3.661,True,speed,layout
OK,1.435,True,speed,layout
Seek,2.741,True,speed,layout
Stop,1.288,True,speed,layout
Mute,2.002,True,speed,remote
Next,1.42,True,speed,remote
Stop,1.727,True,speed,remote
Seek,2.07,True,speed,remote
OK,1.135,True,speed,remote
Previous,2.709,True,speed,remote
Previous,0.951,True,speed,remote
Volume,1.542,True,speed,remote
Mute,1.2,True,speed,remote
Stop,1.292,True,speed,remote
Seek,2.905,True,interactive,layout
OK,2.012,True,interactive,layout
Seek,3.16,True,interactive,layout
Volume,2.658,True,interactive,layout
Play/Pause,4.158,True,interactive,layout
Play/Pause,4.07,True,interactive,layout
Seek,2.805,True,interactive,layout
ESC,5.111,False,interactive,layout
Volume,3.512,True,interactive,layout
Volume,2.901,True,interactive,layout
ESC,3.169,True,interactive,remote
ESC,1.983,True,interactive,remote
Play/Pause,2.764,True,interactive,remote
OK,1.913,True,interactive,remote
ESC,5.001,False,interactive,remote
Play/Pause,2.507,True,interactive,remote
Previous,3.259,True,interactive,remote
OK,2.217,True,interactive,remote
Next,2.18,True,interactive,remote
Mute,2.343,True,interactive,remote
